C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/15/2014,03:00:00,REGULAR,0004874520,0001653220                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/15/2014,07:00:00,REGULAR,0004874531,0001653230                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/15/2014,11:00:00,REGULAR,0004874614,0001653327                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/15/2014,15:00:00,REGULAR,0004874898,0001653413                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/15/2014,19:00:00,REGULAR,0004875330,0001653474                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/15/2014,23:00:00,REGULAR,0004875579,0001653527                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/16/2014,03:00:00,REGULAR,0004875641,0001653542                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/16/2014,07:00:00,REGULAR,0004875654,0001653545                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/16/2014,11:00:00,REGULAR,0004875704,0001653610                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/16/2014,15:00:00,REGULAR,0004875917,0001653669                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/16/2014,19:00:00,REGULAR,0004876206,0001653756                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/16/2014,23:00:00,REGULAR,0004876380,0001653789                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/17/2014,03:00:00,REGULAR,0004876415,0001653799                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/17/2014,07:00:00,REGULAR,0004876433,0001653838                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/17/2014,11:00:00,REGULAR,0004876623,0001654188                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/17/2014,15:00:00,REGULAR,0004876860,0001654273                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/17/2014,19:00:00,REGULAR,0004877891,0001654355                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/17/2014,23:00:00,REGULAR,0004878265,0001654409                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/18/2014,03:00:00,REGULAR,0004878265,0001654410                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/18/2014,07:00:00,REGULAR,0004878283,0001654446                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/18/2014,11:00:00,REGULAR,0004878502,0001654797                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/18/2014,15:00:00,REGULAR,0004878746,0001654876                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/18/2014,19:00:00,REGULAR,0004879706,0001654974                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/18/2014,23:00:00,REGULAR,0004880062,0001655028                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/19/2014,03:00:00,REGULAR,0004880074,0001655031                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/19/2014,07:00:00,REGULAR,0004880091,0001655076                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/19/2014,11:00:00,REGULAR,0004880272,0001655450                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/19/2014,15:00:00,REGULAR,0004880524,0001655555                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/19/2014,19:00:00,REGULAR,0004881435,0001655636                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/19/2014,23:00:00,REGULAR,0004881787,0001655673                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/20/2014,03:00:00,REGULAR,0004881789,0001655673                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/20/2014,07:00:00,REGULAR,0004881804,0001655726                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/20/2014,11:00:00,REGULAR,0004881984,0001656065                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/20/2014,15:00:00,REGULAR,0004882223,0001656163                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/20/2014,19:00:00,REGULAR,0004883143,0001656237                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/20/2014,23:00:00,REGULAR,0004883467,0001656278                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/21/2014,03:00:00,REGULAR,0004883467,0001656278                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/21/2014,07:00:00,REGULAR,0004883490,0001656320                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/21/2014,11:00:00,REGULAR,0004883679,0001656683                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/21/2014,15:00:00,REGULAR,0004883959,0001656768                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/21/2014,19:00:00,REGULAR,0004884962,0001656863                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,11/21/2014,23:00:00,REGULAR,0004885391,0001656889                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/15/2014,03:00:00,REGULAR,0004534733,0000989195                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/15/2014,07:00:00,REGULAR,0004534742,0000989204                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/15/2014,11:00:00,REGULAR,0004534818,0000989269                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/15/2014,15:00:00,REGULAR,0004535054,0000989323                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/15/2014,19:00:00,REGULAR,0004535438,0000989396                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/15/2014,23:00:00,REGULAR,0004535667,0000989434                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/16/2014,03:00:00,REGULAR,0004535738,0000989443                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/16/2014,07:00:00,REGULAR,0004535744,0000989445                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/16/2014,11:00:00,REGULAR,0004535797,0000989488                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/16/2014,15:00:00,REGULAR,0004535973,0000989530                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/16/2014,19:00:00,REGULAR,0004536260,0000989585                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/16/2014,23:00:00,REGULAR,0004536397,0000989612                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/17/2014,03:00:00,REGULAR,0004536428,0000989618                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/17/2014,07:00:00,REGULAR,0004536441,0000989637                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/17/2014,11:00:00,REGULAR,0004536643,0000989802                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/17/2014,15:00:00,REGULAR,0004536849,0000989849                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/17/2014,19:00:00,REGULAR,0004537707,0000989918                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/17/2014,23:00:00,REGULAR,0004538010,0000989949                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/18/2014,03:00:00,REGULAR,0004538010,0000989949                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/18/2014,07:00:00,REGULAR,0004538022,0000989967                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/18/2014,11:00:00,REGULAR,0004538212,0000990141                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/18/2014,15:00:00,REGULAR,0004538400,0000990197                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/18/2014,19:00:00,REGULAR,0004539213,0000990278                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/18/2014,23:00:00,REGULAR,0004539502,0000990314                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/19/2014,03:00:00,REGULAR,0004539519,0000990316                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/19/2014,07:00:00,REGULAR,0004539524,0000990335                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/19/2014,11:00:00,REGULAR,0004539721,0000990498                                     
