C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/10/2015,03:00:00,REGULAR,0004955356,0001678761                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/10/2015,07:00:00,REGULAR,0004955362,0001678769                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/10/2015,11:00:00,REGULAR,0004955400,0001678802                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/10/2015,15:00:00,REGULAR,0004955554,0001678839                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/10/2015,19:00:00,REGULAR,0004955806,0001678899                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/10/2015,23:00:00,REGULAR,0004955934,0001678932                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/11/2015,03:00:00,REGULAR,0004955962,0001678938                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/11/2015,07:00:00,REGULAR,0004955965,0001678942                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/11/2015,11:00:00,REGULAR,0004955998,0001678959                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/11/2015,15:00:00,REGULAR,0004956135,0001678995                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/11/2015,19:00:00,REGULAR,0004956359,0001679049                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/11/2015,23:00:00,REGULAR,0004956424,0001679070                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/12/2015,03:00:00,REGULAR,0004956444,0001679079                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/12/2015,05:16:02,REGULAR,0004956445,0001679079                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/12/2015,05:17:22,REGULAR,0004956445,0001679079                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/12/2015,05:38:53,REGULAR,0004956445,0001679081                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/12/2015,05:40:13,REGULAR,0004956445,0001679081                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/12/2015,07:00:00,REGULAR,0004956464,0001679117                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/12/2015,11:00:00,REGULAR,0004956648,0001679424                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/12/2015,15:00:00,REGULAR,0004956872,0001679519                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/12/2015,19:00:00,REGULAR,0004957939,0001679637                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/12/2015,23:00:00,REGULAR,0004958322,0001679708                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/13/2015,03:00:00,REGULAR,0004958366,0001679714                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/13/2015,07:00:00,REGULAR,0004958378,0001679767                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/13/2015,11:00:00,REGULAR,0004958523,0001680128                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/13/2015,15:00:00,REGULAR,0004958733,0001680232                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/13/2015,19:00:00,REGULAR,0004959697,0001680336                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/13/2015,23:00:00,REGULAR,0004960069,0001680395                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/14/2015,03:00:00,REGULAR,0004960099,0001680397                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/14/2015,07:00:00,REGULAR,0004960114,0001680435                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/14/2015,11:00:00,REGULAR,0004960253,0001680802                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/14/2015,15:00:00,REGULAR,0004960471,0001680906                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/14/2015,19:00:00,REGULAR,0004961013,0001680974                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/14/2015,23:00:00,REGULAR,0004961334,0001681007                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/15/2015,03:00:00,REGULAR,0004961385,0001681014                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/15/2015,07:00:00,REGULAR,0004961394,0001681057                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/15/2015,11:00:00,REGULAR,0004961529,0001681390                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/15/2015,15:00:00,REGULAR,0004961754,0001681466                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/15/2015,19:00:00,REGULAR,0004962651,0001681530                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/15/2015,23:00:00,REGULAR,0004962997,0001681578                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/16/2015,03:00:00,REGULAR,0004963037,0001681582                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/16/2015,07:00:00,REGULAR,0004963059,0001681620                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/16/2015,07:35:22,REGULAR,0004963067,0001681646                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/16/2015,11:00:00,REGULAR,0004963235,0001681937                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/16/2015,15:00:00,REGULAR,0004963463,0001682022                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/16/2015,19:00:00,REGULAR,0004964466,0001682098                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/16/2015,23:00:00,REGULAR,0004964790,0001682129                                     
