C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/17/2015,03:00:00,REGULAR,0004964844,0001682142                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/17/2015,07:00:00,REGULAR,0004964861,0001682153                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/17/2015,11:00:00,REGULAR,0004964945,0001682256                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/17/2015,15:00:00,REGULAR,0004965207,0001682323                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/17/2015,19:00:00,REGULAR,0004965662,0001682400                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/17/2015,23:00:00,REGULAR,0004965868,0001682444                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/18/2015,03:00:00,REGULAR,0004965913,0001682455                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/18/2015,07:00:00,REGULAR,0004965924,0001682458                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/18/2015,11:00:00,REGULAR,0004965972,0001682514                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/18/2015,15:00:00,REGULAR,0004966133,0001682579                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/18/2015,19:00:00,REGULAR,0004966328,0001682642                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/18/2015,23:00:00,REGULAR,0004966506,0001682668                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/19/2015,03:00:00,REGULAR,0004966536,0001682673                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/19/2015,07:00:00,REGULAR,0004966547,0001682696                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/19/2015,11:00:00,REGULAR,0004966642,0001682941                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/19/2015,15:00:00,REGULAR,0004966895,0001683017                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/19/2015,19:00:00,REGULAR,0004967492,0001683089                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/19/2015,23:00:00,REGULAR,0004967759,0001683126                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/20/2015,03:00:00,REGULAR,0004967791,0001683130                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/20/2015,07:00:00,REGULAR,0004967807,0001683171                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/20/2015,11:00:00,REGULAR,0004967945,0001683518                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/20/2015,15:00:00,REGULAR,0004968179,0001683607                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/20/2015,19:00:00,REGULAR,0004969100,0001683705                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/20/2015,23:00:00,REGULAR,0004969415,0001683747                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/21/2015,03:00:00,REGULAR,0004969450,0001683751                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/21/2015,07:00:00,REGULAR,0004969461,0001683799                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/21/2015,11:00:00,REGULAR,0004969645,0001684159                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/21/2015,15:00:00,REGULAR,0004969917,0001684236                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/21/2015,19:00:00,REGULAR,0004970794,0001684336                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/21/2015,23:00:00,REGULAR,0004971120,0001684378                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/22/2015,03:00:00,REGULAR,0004971174,0001684385                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/22/2015,07:00:00,REGULAR,0004971187,0001684426                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/22/2015,11:00:00,REGULAR,0004971332,0001684784                                     
A002,R051,02-00-00,LEXINGTON AVE,NQR456,BMT,01/22/2015,15:00:00,REGULAR,0004971518,0001684860                                     
