C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/22/2014,03:00:00,REGULAR,0004543973,0000991361                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/22/2014,07:00:00,REGULAR,0004543978,0000991370                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/22/2014,11:00:00,REGULAR,0004544031,0000991432                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/22/2014,15:00:00,REGULAR,0004544306,0000991499                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/22/2014,19:00:00,REGULAR,0004544644,0000991555                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/22/2014,23:00:00,REGULAR,0004544843,0000991581                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/23/2014,03:00:00,REGULAR,0004544889,0000991586                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/23/2014,07:00:00,REGULAR,0004544901,0000991591                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/23/2014,11:00:00,REGULAR,0004544947,0000991629                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/23/2014,15:00:00,REGULAR,0004545119,0000991671                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/23/2014,19:00:00,REGULAR,0004545437,0000991710                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/23/2014,23:00:00,REGULAR,0004545558,0000991727                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/24/2014,03:00:00,REGULAR,0004545585,0000991730                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/24/2014,07:00:00,REGULAR,0004545597,0000991743                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/24/2014,11:00:00,REGULAR,0004545787,0000991883                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/24/2014,15:00:00,REGULAR,0004545997,0000991932                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/24/2014,19:00:00,REGULAR,0004546733,0000991987                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/24/2014,23:00:00,REGULAR,0004547024,0000992013                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/25/2014,03:00:00,REGULAR,0004547078,0000992025                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/25/2014,07:00:00,REGULAR,0004547092,0000992041                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/25/2014,08:20:38,REGULAR,0004547144,0000992088                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/25/2014,11:00:00,REGULAR,0004547292,0000992213                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/25/2014,15:00:00,REGULAR,0004547531,0000992260                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/25/2014,19:00:00,REGULAR,0004548341,0000992322                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/25/2014,23:00:00,REGULAR,0004548656,0000992354                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/26/2014,03:00:00,REGULAR,0004548703,0000992360                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/26/2014,07:00:00,REGULAR,0004548715,0000992380                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/26/2014,11:00:00,REGULAR,0004548894,0000992539                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/26/2014,19:00:00,REGULAR,0004549869,0000992653                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/26/2014,23:00:00,REGULAR,0004550090,0000992681                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/27/2014,03:00:00,REGULAR,0004550135,0000992687                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/27/2014,07:00:00,REGULAR,0004550139,0000992690                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/27/2014,11:00:00,REGULAR,0004550183,0000992715                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/27/2014,15:00:00,REGULAR,0004550291,0000992743                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/27/2014,19:00:00,REGULAR,0004550392,0000992753                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/27/2014,23:00:00,REGULAR,0004550444,0000992771                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/28/2014,03:00:00,REGULAR,0004550469,0000992778                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/28/2014,07:00:00,REGULAR,0004550480,0000992786                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/28/2014,11:00:00,REGULAR,0004550571,0000992887                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/28/2014,15:00:00,REGULAR,0004550803,0000992941                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/28/2014,19:00:00,REGULAR,0004551344,0000992985                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,11/28/2014,23:00:00,REGULAR,0004551607,0000993009                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/22/2014,03:00:00,REGULAR,0000404291,0001521257                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/22/2014,07:00:00,REGULAR,0000404295,0001521290                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/22/2014,11:00:00,REGULAR,0000404338,0001521639                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/22/2014,15:00:00,REGULAR,0000404431,0001522112                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/22/2014,19:00:00,REGULAR,0000404602,0001522648                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/22/2014,23:00:00,REGULAR,0000404704,0001522874                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/23/2014,03:00:00,REGULAR,0000404729,0001522946                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/23/2014,07:00:00,REGULAR,0000404731,0001522966                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/23/2014,11:00:00,REGULAR,0000404761,0001523158                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/23/2014,15:00:00,REGULAR,0000404853,0001523495                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/23/2014,19:00:00,REGULAR,0000404974,0001523895                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/23/2014,23:00:00,REGULAR,0000405035,0001524058                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/24/2014,03:00:00,REGULAR,0000405053,0001524077                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/24/2014,07:00:00,REGULAR,0000405059,0001524196                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/24/2014,11:00:00,REGULAR,0000405133,0001525182                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/24/2014,15:00:00,REGULAR,0000405234,0001525596                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/24/2014,19:00:00,REGULAR,0000405565,0001526254                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/24/2014,23:00:00,REGULAR,0000405701,0001526528                                     
